word,meaning,sentence,sentence_translation
absolute,절대적인,"He has absolute confidence in his ability to win.","그는 자신의 승리 능력에 대해 절대적인 자신감을 가지고 있다."
abusive,"학대하는; 모욕적인","Abusive language will not be tolerated in this school.","이 학교에서는 모욕적인 언어가 용납되지 않을 것입니다."
accelerate,가속하다,"The car began to accelerate to pass the truck.","그 차는 트럭을 추월하기 위해 가속하기 시작했다."
accent,"억양; 강세","She speaks English with a French accent.","그녀는 프랑스 억양으로 영어를 말한다."
accidental,우연한,"The meeting was purely accidental; we hadn't planned it.","그 만남은 순전히 우연이었어요. 우리는 계획하지 않았습니다."
accompany,동행하다,"Children must be accompanied by an adult.","어린이는 성인과 동반해야 합니다."
accrued,누적된,"The interest on the loan has accrued over several years.","대출 이자는 수년에 걸쳐 누적되었습니다."
accurately,정확하게,"The witness accurately described what she saw.","목격자는 자신이 본 것을 정확하게 묘사했습니다."
adaptation,"적응; 각색","Adaptation to a new environment can be challenging.","새로운 환경에 적응하는 것은 어려울 수 있습니다."
additional,추가적인,"Is there any additional information you need?","필요한 추가 정보가 있나요?"
adequate,충분한,"We have adequate supplies to last through the winter.","우리는 겨울을 날 만큼 충분한 보급품을 가지고 있습니다."
administration,"행정; 관리","The school administration is responsible for making the rules.","학교 행정부는 규칙을 만드는 책임을 맡고 있습니다."
adoption,"입양; 채택","The committee is considering the adoption of a new policy.","위원회는 새로운 정책 채택을 고려하고 있습니다."
adventurous,모험적인,"He is an adventurous traveler who loves to explore new places.","그는 새로운 장소를 탐험하는 것을 좋아하는 모험적인 여행가입니다."
advisement,조언; 상담,"The decision was made under the advisement of a legal expert.","그 결정은 법률 전문가의 조언에 따라 내려졌습니다."
affair,"사건; 일; 불륜","The company's financial affairs are in order.","회사의 재정 문제는 잘 정돈되어 있습니다."
affordable,감당할 수 있는,"They offer high-quality products at affordable prices.","그들은 고품질의 제품을 저렴한 가격에 제공합니다."
agency,"기관; 대행사","She works for a government agency.","그녀는 정부 기관에서 일합니다."
agriculture,농업,"Agriculture is a vital part of the country's economy.","농업은 그 나라 경제의 중요한 부분입니다."
alarm,"경보; 놀람","The fire alarm went off in the middle of the night.","한밤중에 화재 경보기가 울렸습니다."
allege,주장하다,"He is alleged to have stolen the money.","그는 그 돈을 훔쳤다고 주장되고 있습니다."
allocation,"할당; 배분","The allocation of funds will be decided next week.","자금 배분은 다음 주에 결정될 것입니다."
allowance,"용돈; 수당","My parents give me a weekly allowance.","부모님은 제게 매주 용돈을 주십니다."
alphabet,알파벳,"The English alphabet has 26 letters.","영어 알파벳은 26개의 글자로 이루어져 있습니다."
amazingly,놀랍게도,"Amazingly, he survived the accident without any serious injuries.","놀랍게도, 그는 심각한 부상 없이 그 사고에서 살아남았습니다."
ambition,야망,"Her ambition is to become a successful doctor.","그녀의 야망은 성공적인 의사가 되는 것입니다."
amend,수정하다,"The government plans to amend the law.","정부는 그 법률을 수정할 계획입니다."
amid,~중에,"The hotel is located amid beautiful gardens.","그 호텔은 아름다운 정원들 가운데에 위치해 있습니다."
amusement,"즐거움; 오락","The amusement park is a popular attraction for families.","그 놀이공원은 가족들에게 인기 있는 명소입니다."
analysis,분석,"A detailed analysis of the data is required.","데이터에 대한 상세한 분석이 필요합니다."
analyst,분석가,"A financial analyst helps people make investment decisions.","재무 분석가는 사람들이 투자 결정을 내리는 것을 돕습니다."
ancestor,조상,"My ancestors came to this country from Ireland.","저의 조상들은 아일랜드에서 이 나라로 왔습니다."
angle,"각도 / 관점","From this angle, the building looks much taller.","이 각도에서 보면, 그 건물이 훨씬 더 높아 보입니다."
annoyed,짜증난,"She was annoyed by the constant noise.","그녀는 끊임없는 소음에 짜증이 났습니다."
annoying,짜증나는,"The sound of his pen tapping on the desk was very annoying.","그가 책상 위에서 펜을 두드리는 소리는 매우 짜증났습니다."
annually,매년,"The festival is held annually in the spring.","그 축제는 매년 봄에 열립니다."
apparently,분명히; 보아하니,"Apparently, he is not coming to the party tonight.","보아하니, 그는 오늘 밤 파티에 오지 않을 것 같습니다."
applause,박수,"The audience broke into loud applause after the performance.","공연이 끝난 후 관객들은 큰 박수를 보냈습니다."
appoint,임명하다,"The company will appoint a new manager soon.","회사는 곧 새로운 관리자를 임명할 것입니다."
appreciate,"감사하다 / 진가를 알아보다","I really appreciate your help.","당신의 도움에 정말 감사합니다."
approach,"접근하다 / 방식","We need to find a new approach to solve this problem.","우리는 이 문제를 해결하기 위한 새로운 접근법을 찾아야 합니다."
appropriate,적절한,"Please wear appropriate clothing for the interview.","면접에는 적절한 복장을 착용해 주세요."
approval,승인,"You need to get your parents' approval before you go.","가기 전에 부모님의 승인을 받아야 합니다."
approve,승인하다,"The committee approved the plan.","위원회는 그 계획을 승인했습니다."
approximate,대략의,"The approximate cost of the trip will be $500.","여행의 대략적인 비용은 500달러가 될 것입니다."
approximately,대략,"The journey takes approximately two hours.","그 여정은 대략 2시간 정도 걸립니다."
arch,아치,"We walked under the stone arch to enter the castle.","우리는 성에 들어가기 위해 돌 아치 아래로 걸었습니다."
architect,건축가,"She is a famous architect who designed many modern buildings.","그녀는 많은 현대 건물을 설계한 유명한 건축가입니다."
