word,meaning,sentence,sentence_translation
able,~할 수 있는,"With practice, you will be able to play the piano.","연습하면, 당신은 피아노를 칠 수 있게 될 것입니다."
academic,학문적인,"She has an excellent academic record.","그녀는 우수한 학업 성적을 가지고 있습니다."
accordance,"일치; 조화","All activities must be in accordance with the law.","모든 활동은 법률에 따라야 합니다."
ache,"아픔; 쑤시다","I have a dull ache in my lower back.","허리 아래쪽에 둔한 통증이 있어요."
acquire,"얻다; 습득하다","He worked hard to acquire new skills for his job.","그는 직업을 위해 새로운 기술을 습득하기 위해 열심히 일했습니다."
act,"행동하다; 행위","It's time to act and make a decision.","이제 행동하고 결정을 내릴 시간입니다."
adjust,"조정하다; 적응하다","You need to adjust the mirror to see clearly.","선명하게 보려면 거울을 조정해야 합니다."
admit,"인정하다; 입장시키다","He was reluctant to admit his mistake.","그는 자신의 실수를 인정하기를 꺼렸습니다."
afford,~할 여유가 있다,"I can't afford to buy a new car right now.","저는 지금 새 차를 살 여유가 없습니다."
alive,살아있는,"It's good to be alive on such a beautiful day.","이렇게 아름다운 날에 살아있다는 것은 좋은 일입니다."
although,비록 ~일지라도,"Although it was cold, we enjoyed our walk.","날씨는 추웠지만, 우리는 산책을 즐겼습니다."
altogether,"전복; 완전히","The two situations are altogether different.","두 상황은 완전히 다릅니다."
ancient,고대의,"We visited the ancient ruins in Rome.","우리는 로마의 고대 유적지를 방문했습니다."
annoy,짜증나게 하다,"The sound of the dripping faucet began to annoy me.","물방울이 떨어지는 소리가 저를 짜증나게 하기 시작했습니다."
annual,매년의,"The company holds an annual conference for its employees.","그 회사는 직원들을 위해 매년 컨퍼런스를 개최합니다."
ant,개미,"An ant can carry objects many times its own weight.","개미는 자기 몸무게의 몇 배나 되는 물체를 옮길 수 있습니다."
apart,떨어져,"They decided to live apart for a while.","그들은 잠시 동안 떨어져 살기로 결정했습니다."
apology,사과,"He offered her a sincere apology.","그는 그녀에게 진심 어린 사과를 했습니다."
arise,발생하다,"Unexpected problems may arise during the project.","프로젝트 중에 예상치 못한 문제가 발생할 수 있습니다."
arm,"팔; 무장시키다","He broke his arm while playing soccer.;The country began to arm its military.","그는 축구를 하다가 팔이 부러졌습니다.;그 나라는 군대를 무장시키기 시작했습니다."
army,군대,"He served in the army for five years.","그는 5년 동안 군대에서 복무했습니다."
asleep,잠든,"The baby was fast asleep in her crib.","아기는 아기 침대에서 깊이 잠들어 있었습니다."
attack,공격하다,"The army prepared to attack the enemy at dawn.","군대는 새벽에 적을 공격할 준비를 했습니다."
attract,끌다; 매혹하다,"The beautiful flowers attract many bees.","아름다운 꽃들은 많은 벌들을 끌어들입니다."
author,작가,"Who is your favorite author?","가장 좋아하는 작가는 누구인가요?"
awake,깨어있는,"I was wide awake all night.","저는 밤새도록 완전히 깨어 있었습니다."
backache,"요통; 허리 통증","Sitting for too long can cause backache.","너무 오래 앉아 있으면 요통이 생길 수 있습니다."
backing,"지원; 후원","The project has the full backing of the management.","그 프로젝트는 경영진의 전폭적인 지원을 받고 있습니다."
backpacker,배낭 여행자,"He traveled through Asia as a backpacker.","그는 배낭 여행자로 아시아를 여행했습니다."
bang,"쾅 소리; 세게 치다","She closed the door with a loud bang.","그녀는 문을 쾅 닫았습니다."
basically,기본적으로,"Basically, the plan is good, but it needs some changes.","기본적으로 계획은 좋지만, 약간의 수정이 필요합니다."
basis,"기초; 기반","Trust is the basis of a good relationship.","신뢰는 좋은 관계의 기초입니다."
